epoch,split,loss_total,loss_pred_wr,loss_pred_rmse,loss_noarb_bfly,loss_noarb_cal,loss_param_l2,lr,grad_norm,batches,wall_time_s,hit_a_lo,hit_a_hi,hit_b_lo,hit_b_hi,hit_rho_lo,hit_rho_hi,hit_m_lo,hit_m_hi,hit_sigma_lo,hit_sigma_hi
41,train,0.2405223080090114,0.22971216482775553,0.23105216452053615,0.0,0.0008075740354667817,0.010002573286848409,0.00024685714285714285,0.003906,7,19.85040389999631,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,val,0.25371911376714706,0.24371561408042908,0.25149376690387726,0.0,0.0,0.010003496892750263,0.00024685714285714285,,2,2.1668084999982966,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,train,0.23167671476091659,0.22130527240889414,0.22494485761438096,0.0,0.000366210939578845,0.010005229551877295,0.00025285714285714283,0.003906,7,19.80951570000616,0.37723214285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,val,0.2881259471178055,0.27812276780605316,0.27902229130268097,0.0,0.0,0.010003176517784595,0.00025285714285714283,,2,2.7245132000098238,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,train,0.23950482053416117,0.22859717054026468,0.23047546190874918,0.0,0.0009034033864736557,0.010004240886441298,0.0002588571428571428,0.003906,7,19.23337880001054,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,val,0.2516947239637375,0.24169080704450607,0.24918051064014435,0.0,0.0,0.010003910399973392,0.0002588571428571428,,2,2.383543000003556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,train,0.22224052037511552,0.21156616083213262,0.2143951037100383,0.0,0.000671303689679397,0.010003055978034223,0.00026485714285714285,0.003906,7,19.18385980000312,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,val,0.25314295291900635,0.24314242601394653,0.2473011165857315,0.0,0.0,0.010000529699027538,0.00026485714285714285,,2,3.4878879000025336,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,train,0.2187384239264897,0.20808755712849752,0.210871194090162,1.3483105273540526e-07,0.0006493808718265168,0.010001214886350291,0.00027085714285714283,0.003906,7,23.0637379999971,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,val,0.24741216003894806,0.2374119907617569,0.24339550733566284,0.0,0.0,0.010000164620578289,0.00027085714285714283,,2,2.847879799999646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,train,0.23895973818642752,0.2282294694866453,0.231354792203222,4.1092340958519865e-08,0.0007279135586161699,0.010002275529716696,0.0002768571428571428,0.003906,7,20.203900799999246,0.08928571428571429,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,val,0.27395419776439667,0.2639511302113533,0.2658548653125763,0.0,0.0,0.010003072209656239,0.0002768571428571428,,2,2.22130570000445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,train,0.2237805277109146,0.21334124037197658,0.21624459539140975,0.0,0.0004336402593513152,0.010005647715713297,0.0002828571428571428,0.003906,7,21.549459899993963,0.006696428571428571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,val,0.24886097759008408,0.23885591328144073,0.2457527443766594,0.0,0.0,0.010005067102611065,0.0002828571428571428,,2,2.3097439000121085,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,train,0.21477073856762477,0.20402954731668746,0.20709626802376338,0.0,0.0007359649711621127,0.01000522862055472,0.00028885714285714284,0.003906,7,18.73949240001093,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,val,0.2476222813129425,0.23761963844299316,0.2432962954044342,0.0,0.0,0.010002643801271915,0.00028885714285714284,,2,2.7140650000073947,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,train,0.2255954955305372,0.21452527812549047,0.21777295640536717,0.0,0.0010670495518882359,0.010003168135881424,0.0002948571428571428,0.003906,7,20.892172899999423,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,val,0.2480158731341362,0.23801515996456146,0.24460971355438232,0.0,0.0,0.010000714100897312,0.0002948571428571428,,2,2.6140657999931136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,train,0.2288233893258231,0.21797628274985723,0.22078765077250345,1.1349360054932082e-08,0.0008453576987709052,0.010001727645950658,0.0,0.003906,7,19.29498259999673,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,val,0.2474135383963585,0.2374119907617569,0.24339550733566284,0.0,0.0,0.010001551359891891,0.0,,2,2.184629600000335,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,train,61.550454820905415,45.045950753348215,45.1079112461635,0.48049209799085346,15.290502956935338,0.012770119256206922,6.857142857142856e-06,nan,7,18.622388199990382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,val,49.18914604187012,47.696006774902344,47.76808166503906,0.5897132158279419,0.0,0.01885479874908924,6.857142857142856e-06,,2,2.0643566999933682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,train,38.71570941380092,31.370745250156947,31.439536230904714,0.39314025214740206,6.354134150913784,0.007978514235998903,1.2857142857142856e-05,0.003906,7,17.406066399998963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,val,13.249182224273682,12.78156042098999,12.865818977355957,0.18634527921676636,0.0,0.001758389757014811,1.2857142857142856e-05,,2,2.1759753999940585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,train,9.505059923444476,8.523606164114815,8.549631799970355,0.0627369975471603,0.8069477323442698,0.017663759578551565,1.8857142857142856e-05,0.003906,7,16.426158399990527,0.0,0.0,0.0,0.0,0.0,0.0,0.08067602132047925,0.0,0.0,0.0
3,val,3.6846641302108765,3.653342843055725,3.6454596519470215,0.000623135914793238,0.0,0.02976350300014019,1.8857142857142856e-05,,2,1.9968020000087563,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,train,2.189543468611581,2.10243798153741,2.1008090717451915,0.0006957360019441694,0.05565141746774316,0.029714764761073247,2.4857142857142852e-05,0.003906,7,16.421415000018897,0.0,0.0,0.8191964285714286,0.0,0.0,0.0,0.022321428571428572,0.0,0.0,0.0
4,val,0.2652287483215332,0.23491157591342926,0.23855087161064148,0.00012530935782706365,0.0,0.030003897845745087,2.4857142857142852e-05,,2,2.089348000008613,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,train,0.2830159089394978,0.24994102333273208,0.25226584502628874,0.00010616452060016204,0.0028204252490208353,0.029989045645509447,3.0857142857142856e-05,0.003906,7,17.170683200005442,0.8660714285714286,0.0,0.9977678571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,val,0.3002345710992813,0.2702299803495407,0.27989572286605835,1.1991678547929041e-05,0.0,0.029974617063999176,3.0857142857142856e-05,,2,2.7495686000038404,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,train,0.30063046302114216,0.26728542361940655,0.26910121526036945,4.2076650320918164e-05,0.0033342643873766065,0.02990558370947838,3.685714285714285e-05,0.003906,7,19.62202249999973,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
